intent,latest_week,latest_contacts,latest_share,recent_mean_share,historical_mean_share,z_score,alert
delivery_delayed,2026-05-26,67,0.22945205479452055,0.22867608071331288,0.13019480038310685,4.780029627086456,True
unclear_or_out_of_scope,2026-05-26,19,0.06506849315068493,0.07991142773369679,0.029423738225362175,4.0924419534700816,True
parcel_not_received,2026-05-26,21,0.07191780821917808,0.07212388166023571,0.051295509259419704,1.6435037856724308,False
gp_declined_request,2026-05-26,12,0.0410958904109589,0.031392711933632196,0.020215182347943974,1.2199977744366453,False
possible_adverse_effect,2026-05-26,6,0.02054794520547945,0.013648309046974309,0.011404472792191662,0.48540660561540067,False
online_doctor_order_status,2026-05-26,8,0.0273972602739726,0.02594466767280255,0.02249206250853223,0.4350906873828358,False
urgent_ran_out_medicine,2026-05-26,3,0.010273972602739725,0.01639649101890057,0.01609155538979745,0.043575268722201965,False
wrong_notification,2026-05-26,8,0.0273972602739726,0.01650017104881875,0.017270307870958512,-0.09736965242010753,False
login_issue,2026-05-26,9,0.030821917808219176,0.036008921414611615,0.03983095637173601,-0.29534744247786743,False
clinical_review_delay,2026-05-26,17,0.05821917808219178,0.039850336214930525,0.050693788710064296,-0.919672433241546,False
repeat_prescription_request,2026-05-26,12,0.0410958904109589,0.043273993045682545,0.05490005053335984,-0.9288279937435894,False
split_order_request,2026-05-26,5,0.017123287671232876,0.021220739608516215,0.0278856743901977,-0.9647734886667212,False
not_dispatched,2026-05-26,16,0.0547945205479452,0.055416672206275296,0.06492582343612632,-1.0049251022386283,False
medicine_unavailable,2026-05-26,8,0.0273972602739726,0.039798335372624095,0.0527381300293281,-1.1847985749973722,False
reminder_missing,2026-05-26,10,0.03424657534246575,0.028332131774351652,0.03501195711232273,-1.2053853016005602,False
refund_query,2026-05-26,4,0.0136986301369863,0.011933961003156648,0.02092317673573957,-1.2095598648543762,False
waiting_gp_approval,2026-05-26,20,0.0684931506849315,0.08489339434193666,0.09974777188797186,-1.236290954354177,False
early_repeat_request,2026-05-26,2,0.00684931506849315,0.010741408352929251,0.02482897874000704,-1.3147370725632181,False
complaint_service,2026-05-26,8,0.0273972602739726,0.029576363612190796,0.04529732695178608,-1.44927166945391,False
delivery_tracking,2026-05-26,24,0.0821917808219178,0.07414490958572448,0.10214707348104116,-1.5833763263097953,False
prescription_not_received,2026-05-26,8,0.0273972602739726,0.025062833457635002,0.04262690797475169,-1.8243146716775247,False
change_delivery_address,2026-05-26,5,0.017123287671232876,0.01515225918106143,0.04005475486825502,-2.2145818913674846,False
